Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Ren\xc3\xa9 Pinto,26,0,Maj-AL,Tampa Bay,3,9,9,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.111,0.111,0.111,0.222,650907
Jorge Polanco,29,0,Maj-AL,Minnesota,33,141,132,12,32,10,0,5,19,8,0,32,1,0,0,1,1,0,0.242,0.291,0.432,0.723,593871
AJ Pollock,35,9,Maj-AL,Seattle,49,138,127,15,22,4,0,5,15,9,0,30,0,0,2,1,0,1,0.173,0.225,0.323,0.547,572041
Nick Pratto,24,4,Maj-AL,Kansas City,78,299,261,31,62,15,0,7,31,29,0,112,6,0,3,3,1,1,0.238,0.324,0.376,0.7,668472
Jurickson Profar,30,0,Maj-NL,Colorado,92,404,354,43,86,21,2,7,36,40,0,72,5,0,4,9,1,0,0.243,0.325,0.373,0.698,595777
Cal Raleigh,26,0,Maj-AL,Seattle,90,342,308,47,70,16,1,14,41,33,1,92,1,0,0,2,0,0,0.227,0.304,0.422,0.726,663728
Luke Raley,28,0,Maj-AL,Tampa Bay,84,291,254,46,68,18,2,15,40,21,0,87,14,1,1,2,11,2,0.268,0.355,0.532,0.887,670042
Harold Ram\xc3\xadrez,28,0,Maj-AL,Tampa Bay,78,285,261,34,74,11,1,9,37,18,0,56,3,0,3,3,4,3,0.284,0.333,0.437,0.77,623912
Jos\xc3\xa9 Ram\xc3\xadrez,30,0,Maj-AL,Cleveland,102,457,404,67,118,26,4,18,63,46,12,45,1,0,6,7,13,4,0.292,0.361,0.51,0.871,608070
Heliot Ramos,23,99,Maj-NL,San Francisco,9,27,26,1,5,2,0,0,1,1,0,8,0,0,0,1,0,0,0.192,0.222,0.269,0.491,671218
Henry Ramos,31,72,Maj-NL,Cincinnati,18,73,62,8,15,2,1,0,4,10,0,15,1,0,0,2,2,1,0.242,0.356,0.307,0.663,592656
J.T. Realmuto,32,1,Maj-NL,Philadelphia,92,367,330,44,80,22,5,12,42,25,2,92,6,0,4,7,12,3,0.242,0.304,0.449,0.753,592663
Rob Refsnyder,32,0,Maj-AL,Boston,63,183,151,22,41,6,1,1,26,24,0,37,5,1,1,4,7,2,0.272,0.387,0.344,0.731,608701
Zach Remillard,29,1,Maj-AL,Chicago,29,100,89,12,26,5,0,1,13,8,1,28,1,2,0,3,3,1,0.292,0.357,0.382,0.739,621545
