Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Estevan Florial,25,122,Maj-AL,New York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,664314
Mike Ford,30,0,Maj-AL,Seattle,45,139,126,19,30,5,0,11,24,10,0,49,2,0,1,3,0,0,0.238,0.302,0.54,0.842,645801
Nick Fortes,26,0,Maj-NL,Miami,74,226,210,22,45,4,0,4,20,13,0,43,1,1,1,10,3,2,0.214,0.262,0.291,0.553,663743
Jake Fraley,28,0,Maj-NL,Cincinnati,89,316,279,39,75,14,0,15,62,32,2,55,4,0,1,5,18,5,0.269,0.351,0.48,0.832,641584
Ty France,28,0,Maj-AL,Seattle,102,435,392,57,99,24,0,7,39,23,0,80,19,0,1,16,1,0,0.253,0.324,0.367,0.691,664034
Wander Franco,22,0,Maj-AL,Tampa Bay,101,442,397,55,106,23,5,12,48,38,3,62,3,0,4,14,29,10,0.267,0.333,0.441,0.773,677551
Adam Frazier,31,0,Maj-AL,Baltimore,97,333,301,45,72,15,1,13,49,24,0,40,3,3,1,3,7,3,0.239,0.301,0.425,0.726,624428
Clint Frazier,28,28,Maj-AL,Chicago,33,76,66,10,13,1,1,0,3,10,0,23,0,0,0,0,4,2,0.197,0.303,0.242,0.545,640449
Freddie Freeman,33,0,Maj-NL,Los Angeles,104,477,414,89,136,35,2,21,73,51,7,83,8,0,4,7,13,1,0.329,0.409,0.575,0.984,518692
Tyler Freeman,24,1,Maj-AL,Cleveland,37,93,82,13,24,6,0,0,6,7,0,13,1,2,1,2,3,0,0.293,0.352,0.366,0.718,671289
Sal Frelick,23,0,Maj-NL,Milwaukee,8,32,23,8,7,1,0,1,4,7,0,5,0,0,2,2,0,0,0.304,0.438,0.478,0.916,686217
TJ Friedl,27,0,Maj-NL,Cincinnati,84,341,302,40,86,17,3,7,37,26,1,60,6,6,1,0,16,3,0.285,0.352,0.431,0.783,670770
David Fry,27,0,Maj-AL,Cleveland,39,80,74,10,21,3,0,4,13,5,0,24,1,0,0,2,2,0,0.284,0.338,0.487,0.824,681807
Michael Fulmer,30,27,Maj-NL,Chicago,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605242
Cam Gallagher,30,0,Maj-AL,Cleveland,42,114,108,6,15,5,0,0,6,4,0,34,1,0,1,1,0,0,0.139,0.175,0.185,0.361,595956
Joey Gallo,29,0,Maj-AL,Minnesota,82,267,230,32,41,9,1,17,32,35,1,114,2,0,0,2,0,0,0.178,0.292,0.448,0.74,608336
Adolis Garc\xc3\xada,30,0,Maj-AL,Texas,103,446,394,75,102,22,0,25,84,41,0,112,5,0,6,7,7,0,0.259,0.332,0.505,0.837,666969
Avisa\xc3\xadl Garc\xc3\xada,32,0,Maj-NL,Miami,23,80,73,7,15,1,1,3,9,3,0,23,2,0,0,1,1,0,0.206,0.256,0.37,0.626,541645
Luis Garc\xc3\xada,23,0,Maj-NL,Washington,97,398,369,46,98,13,4,6,42,21,1,50,0,1,7,10,8,4,0.266,0.3,0.371,0.671,671277
Maikel Garcia,23,0,Maj-AL,Kansas City,73,301,272,31,74,15,2,4,33,21,0,63,1,1,6,6,14,2,0.272,0.32,0.386,0.706,672580
Kyle Garlick,31,51,Maj-AL,Minnesota,14,30,28,2,5,1,0,2,4,2,0,11,0,0,0,0,0,0,0.179,0.233,0.429,0.662,664247
Stone Garrett,27,0,Maj-NL,Washington,72,210,184,31,48,11,0,7,29,19,0,67,3,0,3,4,3,1,0.261,0.335,0.435,0.77,656448
Mitch Garver,32,0,Maj-AL,Texas,36,135,119,16,30,6,0,5,20,16,0,38,0,0,0,3,0,0,0.252,0.341,0.429,0.769,641598
Zack Gelof,23,0,Maj-AL,Oakland,14,60,55,10,12,4,1,3,6,4,0,20,1,0,0,2,5,1,0.218,0.283,0.491,0.774,680869
Andr\xc3\xa9s Gim\xc3\xa9nez,24,0,Maj-AL,Cleveland,101,407,363,47,86,16,4,9,40,23,2,72,16,3,2,8,17,3,0.237,0.309,0.377,0.687,665926
Paul Goldschmidt,35,0,Maj-NL,St. Louis,103,463,403,64,113,21,0,18,56,56,3,99,2,0,2,10,9,2,0.28,0.369,0.467,0.836,502671
Yan Gomes,35,0,Maj-NL,Chicago,71,256,234,31,65,9,2,9,40,12,1,47,5,0,5,4,1,0,0.278,0.32,0.449,0.769,543228
Nick Gonzales,24,0,Maj-NL,Pittsburgh,30,109,99,11,22,6,1,2,13,4,0,30,4,0,2,0,0,1,0.222,0.275,0.364,0.639,693304
Oscar Gonzalez,25,0,Maj-AL,Cleveland,28,83,80,6,16,2,1,1,5,3,0,17,0,0,0,1,0,0,0.2,0.229,0.288,0.516,660757
Romy Gonzalez,26,43,Maj-AL,Chicago,44,97,93,11,18,4,2,3,14,2,0,36,0,1,1,0,7,0,0.194,0.208,0.376,0.585,663853
Nick Gordon,27,74,Maj-AL,Minnesota,34,93,91,13,16,5,1,2,7,1,0,11,0,1,0,1,0,0,0.176,0.185,0.319,0.504,624503
Nolan Gorman,23,1,Maj-NL,St. Louis,95,366,323,45,78,16,0,22,65,40,1,112,1,0,2,4,6,2,0.242,0.325,0.495,0.821,669357
Yasmani Grandal,34,0,Maj-AL,Chicago,87,303,275,26,69,12,0,8,29,24,0,66,3,0,1,7,0,0,0.251,0.317,0.382,0.699,518735
Riley Greene,22,0,Maj-AL,Detroit,70,298,270,41,83,13,3,8,24,27,0,84,1,0,0,5,6,0,0.307,0.373,0.467,0.839,682985
Randal Grichuk,31,0,Maj-NL,Colorado,64,263,240,40,74,19,1,8,27,18,2,51,4,0,1,6,2,2,0.308,0.365,0.496,0.861,545341
Trent Grisham,26,0,Maj-NL,San Diego,102,387,329,47,68,25,1,10,32,51,0,107,4,1,1,5,11,3,0.207,0.32,0.38,0.699,663757
Vaughn Grissom,22,85,Maj-NL,Atlanta,19,70,65,5,18,2,0,0,7,2,0,13,2,0,1,1,0,1,0.277,0.314,0.308,0.622,687093
Robbie Grossman,33,0,Maj-AL,Texas,77,287,249,39,56,13,1,7,35,30,0,69,2,0,6,4,0,0,0.225,0.307,0.37,0.676,543257
Vladimir Guerrero Jr.,24,0,Maj-AL,Toronto,103,451,400,52,108,21,0,17,66,40,3,72,7,0,4,14,4,2,0.27,0.344,0.45,0.794,665489
Luis Guillorme,28,9,Maj-NL,New York,50,114,101,12,24,6,1,1,9,10,1,28,0,2,1,3,0,0,0.238,0.304,0.347,0.65,641645
Lourdes Gurriel Jr.,29,0,Maj-NL,Arizona,93,383,357,41,88,22,2,15,56,21,0,63,4,0,1,13,2,0,0.247,0.295,0.445,0.74,666971
Yuli Gurriel,39,0,Maj-NL,Miami,68,254,228,26,61,12,3,3,20,21,2,29,1,0,4,9,4,0,0.268,0.327,0.386,0.713,493329
Dalton Guthrie,27,47,Maj-NL,Philadelphia,23,28,24,4,4,1,0,0,0,3,0,7,1,0,0,0,0,0,0.167,0.286,0.208,0.494,656495
Eric Haase,30,1,Maj-AL,Detroit,78,259,244,19,48,8,1,3,23,14,1,73,0,0,1,9,3,1,0.197,0.239,0.275,0.514,606992
Sam Haggerty,29,56,Maj-AL,Seattle,24,48,42,6,8,2,0,0,2,6,0,11,0,0,0,0,4,1,0.191,0.292,0.238,0.53,664059
Darick Hall,27,10,Maj-NL,Philadelphia,18,56,54,2,9,1,0,1,3,2,0,18,0,0,0,2,0,0,0.167,0.196,0.241,0.437,669742
Billy Hamilton,32,87,Maj-AL,Chicago,3,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0,0.0,571740
Caleb Hamilton,28,29,Maj-AL,Boston,4,6,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.0,0.167,0.0,0.167,643348
David Hamilton,25,24,Maj-AL,Boston,13,34,29,2,4,2,0,0,0,5,0,10,0,0,0,1,2,1,0.138,0.265,0.207,0.472,666152
Garrett Hampson,28,0,Maj-NL,Miami,67,156,138,23,38,10,1,1,12,12,0,41,3,3,0,1,3,0,0.275,0.346,0.384,0.731,641658
Mitch Haniger,32,47,Maj-NL,San Francisco,40,160,148,20,34,9,0,4,22,9,0,42,2,0,1,2,1,0,0.23,0.281,0.372,0.653,571745
Ian Happ,28,1,Maj-NL,Chicago,102,443,363,49,90,21,2,10,46,73,2,106,4,0,3,7,9,2,0.248,0.377,0.399,0.776,664023
Bryce Harper,30,0,Maj-NL,Philadelphia,72,313,268,43,78,16,0,5,31,42,4,71,1,0,2,6,7,2,0.291,0.387,0.407,0.793,547180
Michael Harris II,22,0,Maj-NL,Atlanta,81,300,276,38,76,15,2,9,28,18,0,57,3,1,2,7,13,2,0.275,0.324,0.442,0.766,671739
Josh Harrison,35,0,Maj-NL,Philadelphia,40,114,103,8,21,3,0,2,10,3,0,20,6,0,2,2,0,0,0.204,0.263,0.291,0.555,543281
Adam Haseley,27,31,Maj-AL,Chicago,28,39,36,6,8,2,0,0,2,3,0,8,0,0,0,1,1,0,0.222,0.282,0.278,0.56,656514
Ke\'Bryan Hayes,26,24,Maj-NL,Pittsburgh,75,307,290,34,73,16,5,5,32,16,0,62,0,0,1,9,9,5,0.252,0.29,0.393,0.683,663647
Austin Hays,27,0,Maj-AL,Baltimore,94,372,345,48,99,25,2,9,40,22,0,89,1,0,4,4,2,1,0.287,0.328,0.449,0.777,669720
Austin Hedges,30,0,Maj-NL,Pittsburgh,65,187,161,13,29,5,0,1,14,11,0,39,2,9,3,7,1,0,0.18,0.237,0.23,0.467,595978
Jonah Heim,28,4,Maj-AL,Texas,90,359,328,49,92,23,0,14,70,28,2,62,1,0,2,8,2,0,0.281,0.337,0.479,0.816,641680
Tyler Heineman,32,35,"Maj-AL,Maj-NL","Pittsburgh,Toronto",12,30,25,2,6,1,0,0,0,5,0,6,0,0,0,0,1,0,0.24,0.367,0.28,0.647,623168
Gunnar Henderson,22,0,Maj-AL,Baltimore,94,370,324,56,78,14,5,16,44,43,1,102,2,0,1,5,5,2,0.241,0.332,0.463,0.795,683002
David Hensley,27,9,Maj-AL,Houston,29,93,83,12,10,1,0,1,3,10,0,34,0,0,0,0,1,0,0.121,0.215,0.169,0.384,682073
Enrique Hern\xc3\xa1ndez,31,0,"Maj-AL,Maj-NL","Boston,Los Angeles",90,332,306,38,69,12,0,6,31,22,0,68,2,0,2,11,3,1,0.226,0.28,0.324,0.604,571771
Teoscar Hern\xc3\xa1ndez,30,0,Maj-AL,Seattle,105,441,407,45,97,17,2,16,58,25,2,141,5,0,4,5,5,2,0.238,0.288,0.408,0.696,606192
Yonny Hern\xc3\xa1ndez,25,4,Maj-NL,Los Angeles,13,27,22,5,3,1,0,0,4,2,0,8,1,1,1,0,0,0,0.136,0.231,0.182,0.413,660634
Iv\xc3\xa1n Herrera,23,7,Maj-NL,St. Louis,8,26,23,3,8,1,0,0,2,2,0,9,1,0,0,0,0,0,0.348,0.423,0.391,0.814,671056
Jose Herrera,26,0,Maj-NL,Arizona,26,79,66,12,15,4,0,0,6,8,0,21,0,4,1,2,1,0,0.227,0.307,0.288,0.595,645444
Jason Heyward,33,0,Maj-NL,Los Angeles,81,241,204,39,50,14,0,10,26,28,0,48,3,0,3,5,2,1,0.245,0.34,0.461,0.801,518792
Aaron Hicks,33,6,Maj-AL,"Baltimore,New York",70,228,200,33,46,6,1,7,25,27,0,55,0,0,1,1,3,0,0.23,0.32,0.375,0.695,543305
Kyle Higashioka,33,0,Maj-AL,New York,67,183,170,16,39,8,0,6,26,9,0,52,0,1,3,1,0,0,0.229,0.264,0.382,0.646,543309
Derek Hill,27,26,Maj-NL,Washington,13,50,47,3,8,1,0,0,1,3,0,11,0,0,0,0,1,0,0.17,0.22,0.192,0.412,656537
Sam Hilliard,29,12,Maj-NL,Atlanta,40,78,72,15,17,5,0,3,6,6,0,33,0,0,0,1,4,0,0.236,0.295,0.431,0.726,656541
Nico Hoerner,26,0,Maj-NL,Chicago,97,446,410,58,112,18,4,7,57,27,0,55,7,0,2,7,25,3,0.273,0.327,0.388,0.715,663538
TJ Hopkins,26,43,Maj-NL,Cincinnati,14,25,24,4,4,0,0,0,1,1,0,7,0,0,0,0,1,0,0.167,0.2,0.167,0.367,686759
Spencer Horwitz,25,40,Maj-AL,Toronto,3,10,8,1,2,0,0,0,1,2,0,3,0,0,0,0,0,0,0.25,0.4,0.25,0.65,687462
Eric Hosmer,33,75,Maj-NL,Chicago,31,100,94,7,22,3,0,2,14,6,0,25,0,0,0,5,0,0,0.234,0.28,0.33,0.61,543333
Sam Huff,25,0,Maj-AL,Texas,12,25,23,1,3,0,0,1,2,2,0,10,0,0,0,1,0,0,0.13,0.2,0.261,0.461,669087
Cooper Hummel,28,103,Maj-AL,Seattle,10,26,23,2,2,1,0,0,0,2,0,9,1,0,0,1,1,0,0.087,0.192,0.13,0.323,669450
Andy Ib\xc3\xa1\xc3\xb1ez,30,0,Maj-AL,Detroit,72,243,232,29,56,17,1,7,20,10,0,45,1,0,0,5,0,0,0.241,0.276,0.414,0.69,628451
Jonathan India,26,2,Maj-NL,Cincinnati,103,453,394,68,99,20,0,14,52,39,0,91,14,0,6,12,12,2,0.251,0.336,0.409,0.744,663697
Kyle Isbel,26,1,Maj-AL,Kansas City,51,182,174,22,40,14,1,4,16,7,0,35,1,0,0,2,4,1,0.23,0.264,0.391,0.655,664728
Travis Jankowski,32,1,Maj-AL,Texas,66,203,175,28,54,10,1,1,22,24,0,29,2,1,1,2,15,1,0.309,0.396,0.394,0.79,608671
Danny Jansen,28,0,Maj-AL,Toronto,68,234,215,29,49,12,0,14,46,16,1,51,3,0,0,3,0,0,0.228,0.291,0.479,0.77,643376
Ryan Jeffers,26,2,Maj-AL,Minnesota,60,191,160,24,45,8,1,5,16,20,0,54,7,4,0,4,3,1,0.281,0.385,0.438,0.823,680777
Eloy Jim\xc3\xa9nez,26,1,Maj-AL,Chicago,71,297,277,33,79,14,0,13,47,19,1,65,0,0,1,10,0,0,0.285,0.33,0.477,0.807,650391
Connor Joe,30,0,Maj-NL,Pittsburgh,90,299,264,40,64,19,3,7,25,29,0,81,6,0,0,4,3,5,0.242,0.331,0.417,0.748,656582
Bryce Johnson,27,28,Maj-NL,San Francisco,30,48,43,7,7,1,0,1,3,4,0,15,0,0,1,0,3,0,0.163,0.229,0.256,0.485,669369
Jahmai Jones,25,5,Maj-NL,Milwaukee,7,11,10,2,2,1,0,0,3,1,0,5,0,0,0,0,1,0,0.2,0.273,0.3,0.573,663330
Nolan Jones,25,0,Maj-NL,Colorado,50,185,165,22,45,8,0,9,22,19,1,62,1,0,0,1,7,1,0.273,0.351,0.485,0.836,666134
Aaron Judge,31,1,Maj-AL,New York,51,222,181,44,54,10,0,20,42,38,4,64,0,0,3,3,3,1,0.298,0.414,0.685,1.1,592450
Edouard Julien,24,0,Maj-AL,Minnesota,58,211,181,30,54,11,1,10,18,25,0,65,2,1,2,2,2,0,0.298,0.386,0.536,0.922,666397
Corey Julks,27,0,Maj-AL,Houston,84,303,279,35,70,13,0,6,32,21,0,72,1,0,2,5,15,3,0.251,0.304,0.362,0.666,667452
Josh Jung,25,0,Maj-AL,Texas,103,439,408,65,111,23,1,20,61,27,0,129,3,0,1,6,1,3,0.272,0.321,0.48,0.802,673962
Connor Kaiser,26,39,Maj-NL,Colorado,3,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,663731
Jarred Kelenic,23,11,Maj-AL,Seattle,90,362,326,43,82,24,2,11,45,33,3,118,1,0,2,6,12,4,0.252,0.32,0.439,0.759,672284
Carson Kelly,28,0,Maj-NL,Arizona,23,72,69,3,12,1,0,1,6,2,0,21,0,0,1,1,0,0,0.174,0.194,0.232,0.426,608348
Tony Kemp,31,0,Maj-AL,Oakland,86,313,271,33,58,10,3,3,21,29,0,29,5,6,2,7,12,2,0.214,0.3,0.306,0.606,643393
Max Kepler,30,0,Maj-AL,Minnesota,79,291,263,39,61,11,0,15,39,22,0,64,3,0,3,6,0,1,0.232,0.296,0.445,0.74,596146
Grae Kessinger,25,0,Maj-AL,Houston,15,33,28,2,6,1,0,1,1,5,0,6,0,0,0,0,0,1,0.214,0.333,0.357,0.69,666197
Kevin Kiermaier,33,0,Maj-AL,Toronto,88,282,254,39,70,13,5,5,23,21,0,58,4,1,2,7,11,0,0.276,0.338,0.425,0.763,595281
Ha-Seong Kim,27,0,Maj-NL,San Diego,101,391,333,57,93,14,0,14,39,49,0,80,3,3,3,4,21,6,0.279,0.374,0.447,0.821,673490
Isiah Kiner-Falefa,28,0,Maj-AL,New York,80,240,214,30,55,8,1,5,28,20,0,40,2,1,3,8,9,4,0.257,0.322,0.374,0.696,643396
Alex Kirilloff,25,1,Maj-AL,Minnesota,69,258,226,24,61,13,1,8,32,25,1,69,6,0,1,1,0,0,0.27,0.357,0.443,0.799,666135
Alejandro Kirk,24,0,Maj-AL,Toronto,78,264,234,20,60,6,0,6,28,24,1,30,5,0,1,13,0,0,0.256,0.337,0.359,0.696,672386
Andrew Knizner,28,0,Maj-NL,St. Louis,42,139,134,21,33,6,0,8,24,4,0,38,0,1,0,2,1,0,0.246,0.268,0.47,0.738,668800
Taylor Kohlwey,28,2,Maj-NL,San Diego,5,13,13,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0.154,0.154,0.154,0.308,670128
Mark Kolozsvary,27,47,Maj-AL,Baltimore,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,656627
Ryan Kreidler,25,107,Maj-AL,Detroit,11,18,18,2,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0.111,0.111,0.111,0.222,668952
Steven Kwan,25,0,Maj-AL,Cleveland,105,478,425,70,118,26,3,5,37,46,2,52,3,1,3,6,15,2,0.278,0.35,0.388,0.738,680757
Tommy La Stella,34,91,Maj-AL,Seattle,12,24,21,2,4,1,0,0,2,3,0,5,0,0,0,0,0,0,0.191,0.292,0.238,0.53,600303
Jake Lamb,32,85,Maj-AL,Los Angeles,18,54,51,7,11,1,0,2,5,3,0,15,0,0,0,1,0,0,0.216,0.259,0.353,0.612,571875
Shea Langeliers,25,0,Maj-AL,Oakland,90,336,307,35,62,14,3,10,35,23,2,100,4,1,1,8,1,2,0.202,0.266,0.365,0.631,669127
Trevor Larnach,26,4,Maj-AL,Minnesota,50,188,162,23,35,6,3,6,32,24,1,67,0,0,2,1,1,1,0.216,0.314,0.401,0.715,663616
Ram\xc3\xb3n Laureano,28,0,Maj-AL,Oakland,61,237,218,24,48,10,3,6,21,15,0,72,4,0,0,4,8,0,0.22,0.283,0.376,0.659,657656
DJ LeMahieu,34,1,Maj-AL,New York,89,358,320,34,75,16,2,8,28,34,2,80,2,0,2,8,0,2,0.234,0.31,0.372,0.682,518934
Sandy Le\xc3\xb3n,34,47,Maj-AL,Texas,21,44,41,4,6,2,0,0,4,1,0,20,1,1,0,2,0,0,0.146,0.186,0.195,0.381,506702
Josh Lester,28,37,Maj-AL,Baltimore,11,23,22,0,4,0,0,0,4,1,0,7,0,0,0,1,0,0,0.182,0.217,0.182,0.399,623507
Kyle Lewis,27,23,Maj-NL,Arizona,11,35,33,1,6,1,0,1,2,2,0,11,0,0,0,0,0,0,0.182,0.229,0.303,0.532,641786
Royce Lewis,24,29,Maj-AL,Minnesota,26,99,95,11,31,2,0,4,15,3,0,28,1,0,0,1,1,0,0.326,0.354,0.474,0.827,668904
Francisco Lindor,29,0,Maj-NL,New York,105,452,394,65,93,23,2,21,65,46,0,97,7,0,5,7,17,1,0.236,0.323,0.465,0.788,596019
Tim Locastro,30,105,Maj-NL,New York,11,10,7,3,0,0,0,0,0,0,0,2,3,0,0,0,4,0,0.0,0.3,0.0,0.3,641796
Evan Longoria,37,5,Maj-NL,Arizona,55,178,160,24,38,9,0,11,24,16,0,58,0,0,2,5,0,0,0.238,0.303,0.5,0.803,446334
Nicky Lopez,28,0,Maj-AL,Kansas City,68,190,160,19,34,5,3,0,13,21,0,30,5,4,0,3,4,2,0.213,0.323,0.281,0.604,670032
Brandon Lowe,28,0,Maj-AL,Tampa Bay,70,274,239,34,54,10,1,13,40,32,0,76,2,0,1,5,5,0,0.226,0.321,0.439,0.761,664040
Josh Lowe,25,0,Maj-AL,Tampa Bay,87,317,295,42,80,20,1,13,55,20,0,87,0,0,2,3,22,2,0.271,0.316,0.478,0.794,666139
Nathaniel Lowe,27,0,Maj-AL,Texas,105,476,408,69,117,28,2,12,57,62,2,100,3,0,3,11,0,0,0.287,0.382,0.453,0.836,663993
Marco Luciano,21,0,Maj-NL,San Francisco,4,12,11,2,3,1,0,0,0,1,0,5,0,0,0,0,0,0,0.273,0.333,0.364,0.697,682617
Nathan Lukes,28,12,Maj-AL,Toronto,25,25,21,4,4,1,1,0,2,3,0,8,0,0,1,0,0,0,0.191,0.28,0.333,0.613,664770
Jordan Luplow,29,5,Maj-AL,Toronto,6,16,13,1,3,0,0,0,1,3,1,7,0,0,0,0,0,0,0.231,0.375,0.231,0.606,656669
Manny Machado,30,0,Maj-NL,San Diego,90,390,354,51,92,14,0,20,62,30,0,68,2,0,4,14,3,1,0.26,0.318,0.469,0.787,592518
Nick Madrigal,26,0,Maj-NL,Chicago,54,174,158,24,44,9,1,1,17,7,0,16,6,3,0,3,7,2,0.279,0.333,0.367,0.7,663611
Bligh Madris,27,7,Maj-AL,Houston,11,30,26,4,4,1,0,0,0,4,0,7,0,0,0,0,0,0,0.154,0.267,0.192,0.459,676632
Drew Maggi,34,92,Maj-NL,Pittsburgh,3,6,6,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0.333,0.333,0.5,0.833,543482
Luke Maile,32,1,Maj-NL,Cincinnati,47,116,108,10,26,8,0,4,13,7,0,30,1,0,0,5,1,0,0.241,0.293,0.426,0.719,571912
Mart\xc3\xadn Maldonado,36,0,Maj-AL,Houston,78,272,242,19,41,8,0,8,18,19,0,88,3,8,0,8,0,0,0.169,0.239,0.302,0.54,455117
Trey Mancini,31,0,Maj-NL,Chicago,78,261,234,31,55,12,0,4,28,20,1,77,2,0,3,5,0,0,0.235,0.297,0.338,0.635,641820
Tucupita Marcano,23,6,Maj-NL,Pittsburgh,75,220,202,16,47,12,2,3,18,10,0,35,3,3,2,2,5,2,0.233,0.277,0.356,0.633,672779
Manuel Margot,28,1,Maj-AL,Tampa Bay,78,258,236,33,60,15,1,3,26,16,0,44,3,0,3,6,7,3,0.254,0.306,0.364,0.671,622534
Jake Marisnick,32,12,"Maj-AL,Maj-NL","Chicago,Detroit,Los Angeles",46,83,76,10,18,3,2,2,10,3,0,21,2,1,1,4,2,3,0.237,0.281,0.408,0.688,545350
Cade Marlowe,26,0,Maj-AL,Seattle,8,23,18,3,4,1,1,1,1,5,0,4,0,0,0,0,2,0,0.222,0.391,0.556,0.947,687799
Brandon Marsh,25,0,Maj-NL,Philadelphia,95,343,298,38,84,19,6,7,40,39,2,106,2,1,3,3,6,2,0.282,0.366,0.456,0.822,669016
Ketel Marte,29,0,Maj-NL,Arizona,99,435,382,71,113,18,7,17,55,45,1,70,5,0,3,12,6,2,0.296,0.375,0.513,0.888,606466
Starling Marte,34,14,Maj-NL,New York,84,333,307,38,78,7,1,5,28,16,1,66,8,2,0,8,24,4,0.254,0.308,0.332,0.64,516782
J.D. Martinez,35,1,Maj-NL,Los Angeles,84,365,331,48,86,21,2,25,75,25,1,112,2,0,7,8,1,0,0.26,0.31,0.562,0.872,502110
Michael Massey,25,0,Maj-AL,Kansas City,79,272,249,21,54,8,1,8,30,17,0,69,3,0,3,1,5,1,0.217,0.272,0.353,0.626,686681
Miles Mastrobuoni,27,2,Maj-NL,Chicago,42,113,99,14,21,3,0,1,4,12,0,26,0,2,0,1,10,0,0.212,0.297,0.273,0.57,670156
Jorge Mateo,28,4,Maj-AL,Baltimore,86,271,246,40,52,12,1,6,31,16,0,67,1,4,3,6,23,3,0.211,0.259,0.342,0.601,622761
Mark Mathias,28,43,Maj-NL,Pittsburgh,22,62,52,5,12,2,0,0,4,10,0,11,0,0,0,3,3,0,0.231,0.355,0.269,0.624,664029
Nick Maton,26,1,Maj-AL,Detroit,84,271,229,27,40,8,0,7,29,37,1,66,3,0,2,4,1,2,0.175,0.295,0.301,0.597,665155
Luis Matos,21,0,Maj-NL,San Francisco,38,137,125,15,33,6,1,1,8,9,0,14,2,1,0,1,3,0,0.264,0.324,0.352,0.676,682641
James McCann,33,0,Maj-AL,Baltimore,41,133,123,12,24,8,0,3,10,3,0,31,3,3,1,3,2,0,0.195,0.231,0.333,0.564,543510
Jake McCarthy,25,1,Maj-NL,Arizona,74,256,227,32,58,6,5,2,14,22,0,52,4,2,1,4,23,3,0.256,0.331,0.352,0.683,664983
Chas McCormick,28,0,Maj-AL,Houston,66,262,228,35,65,12,2,13,44,26,0,70,6,1,1,1,11,1,0.285,0.372,0.526,0.898,676801
Andrew McCutchen,36,0,Maj-NL,Pittsburgh,85,361,296,44,76,12,0,10,28,59,1,76,2,0,4,5,10,3,0.257,0.38,0.399,0.778,457705
Reese McGuire,28,39,Maj-AL,Boston,40,116,105,11,28,9,0,0,11,7,0,32,0,2,0,1,0,1,0.267,0.313,0.352,0.665,624512
Ryan McKenna,26,0,Maj-AL,Baltimore,65,92,82,17,22,5,0,2,11,5,0,26,3,0,2,3,1,0,0.268,0.326,0.402,0.729,663630
Billy McKinney,28,2,Maj-AL,New York,34,101,90,13,22,3,1,5,11,10,1,25,1,0,0,1,1,0,0.244,0.327,0.467,0.793,641856
Zach McKinstry,28,0,Maj-AL,Detroit,98,341,303,43,72,13,2,7,24,32,0,71,2,2,2,1,12,2,0.238,0.313,0.363,0.676,656716
Matt McLain,23,0,Maj-NL,Cincinnati,65,296,266,50,81,19,4,11,37,23,0,82,7,0,0,4,8,4,0.305,0.375,0.53,0.905,680574
Ryan McMahon,28,0,Maj-NL,Colorado,101,420,373,54,96,22,3,16,50,45,2,128,1,0,1,15,5,3,0.257,0.338,0.461,0.799,641857
