last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
DeSclafani, Anthony,543101,2023,419,315,0.271,0.282,-0.0109999999999999,0.456,0.481,-0.0249999999999999,0.329,0.345,-0.0159999999999999,4.88,5.07,-0.194
Lorenzen, Michael,547179,2023,418,305,0.233,0.249,-0.0159999999999999,0.366,0.419,-0.0529999999999999,0.285,0.313,-0.028,3.58,4.08,-0.503
Bello, Brayan,678394,2023,404,291,0.245,0.242,0.003,0.418,0.414,0.004,0.31,0.313,-0.003,3.66,4.08,-0.424
Rea, Colin,607067,2023,403,288,0.238,0.244,-0.006,0.433,0.42,0.013,0.313,0.316,-0.003,4.76,4.17,0.595
Matz, Steven,571927,2023,402,282,0.27,0.253,0.017,0.415,0.379,0.0359999999999999,0.326,0.308,0.018,4.07,3.94,0.125
Musgrove, Joe,605397,2023,399,272,0.247,0.224,0.0229999999999999,0.375,0.345,0.03,0.295,0.276,0.0189999999999999,3.05,3.12,-0.069
Waldichuk, Ken,686610,2023,399,258,0.295,0.244,0.0509999999999999,0.521,0.431,0.09,0.388,0.344,0.044,6.38,5.04,1.338
Weaver, Luke,596133,2023,393,295,0.306,0.286,0.02,0.575,0.513,0.0619999999999999,0.394,0.366,0.028,6.8,5.82,0.982
Ober, Bailey,641927,2023,391,273,0.232,0.232,0.0,0.393,0.415,-0.0219999999999999,0.29,0.299,-0.009,3.19,3.7,-0.507
Verlander, Justin,434378,2023,386,273,0.219,0.223,-0.004,0.344,0.344,0.0,0.276,0.283,-0.0069999999999999,3.15,3.29,-0.142
Taillon, Jameson,592791,2023,383,275,0.269,0.269,0.0,0.453,0.473,-0.0199999999999999,0.336,0.346,-0.0099999999999999,5.46,5.11,0.351
Henry, Tommy,674072,2023,381,278,0.251,0.247,0.004,0.418,0.408,0.01,0.325,0.321,0.004,4.15,4.31,-0.164
Kershaw, Clayton,477132,2023,379,248,0.216,0.229,-0.013,0.355,0.386,-0.031,0.273,0.292,-0.0189999999999999,2.55,3.51,-0.961
Bibee, Tanner,676440,2023,373,247,0.226,0.224,0.002,0.345,0.357,-0.012,0.286,0.29,-0.004,3.11,3.46,-0.348
Manoah, Alek,666201,2023,369,239,0.271,0.272,-0.001,0.454,0.479,-0.0249999999999999,0.372,0.383,-0.011,5.87,6.49,-0.62
