last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Doyle, Brenton,686668,2023,234,132,0.198,0.204,-0.0059999999999999,0.335,0.364,-0.0289999999999999,0.26,0.277,-0.017
Carlson, Dylan,666185,2023,232,154,0.23,0.241,-0.0109999999999999,0.345,0.393,-0.048,0.303,0.328,-0.025
Bethancourt, Christian,542194,2023,231,162,0.219,0.217,0.002,0.374,0.385,-0.011,0.267,0.272,-0.005
Carpenter, Kerry,681481,2023,230,155,0.258,0.261,-0.003,0.464,0.475,-0.0109999999999999,0.337,0.346,-0.0089999999999999
Newman, Kevin,621028,2023,228,180,0.262,0.276,-0.014,0.381,0.378,0.003,0.305,0.316,-0.011
Hicks, Aaron,543305,2023,228,146,0.23,0.204,0.026,0.375,0.309,0.066,0.308,0.278,0.0299999999999999
Urshela, Gio,570482,2023,228,181,0.299,0.255,0.0439999999999999,0.374,0.355,0.019,0.308,0.288,0.02
Thomas, Alek,677950,2023,227,163,0.242,0.254,-0.012,0.414,0.379,0.0349999999999999,0.296,0.293,0.003
Diaz, Yainer,673237,2023,227,178,0.265,0.278,-0.013,0.507,0.566,-0.0589999999999999,0.329,0.361,-0.0319999999999999
Taylor, Chris,621035,2023,227,131,0.214,0.216,-0.002,0.442,0.437,0.005,0.308,0.31,-0.002
Crawford, Brandon,543063,2023,227,148,0.212,0.216,-0.004,0.335,0.361,-0.0259999999999999,0.275,0.287,-0.0119999999999999
Rogers, Jake,668670,2023,226,127,0.215,0.24,-0.0249999999999999,0.44,0.472,-0.0319999999999999,0.318,0.345,-0.0269999999999999
Stanton, Giancarlo,519317,2023,226,150,0.202,0.225,-0.0229999999999999,0.443,0.492,-0.0489999999999999,0.304,0.337,-0.033
Fortes, Nick,663743,2023,226,169,0.214,0.23,-0.016,0.29,0.349,-0.059,0.247,0.276,-0.029
Vogelbach, Daniel,596129,2023,225,140,0.226,0.218,0.008,0.369,0.363,0.006,0.31,0.306,0.004
Cron, C.J.,543068,2023,224,160,0.26,0.273,-0.013,0.476,0.511,-0.035,0.332,0.356,-0.0239999999999999
Sheets, Gavin,657757,2023,224,161,0.215,0.216,-0.001,0.355,0.36,-0.005,0.281,0.284,-0.0029999999999999
Castro, Harold,605612,2023,224,165,0.27,0.248,0.022,0.34,0.355,-0.0149999999999999,0.273,0.271,0.002
Castro, Rodolfo,666801,2023,224,136,0.228,0.197,0.031,0.355,0.342,0.0129999999999999,0.299,0.282,0.017
Judge, Aaron,592450,2023,222,120,0.298,0.308,-0.01,0.685,0.78,-0.0949999999999999,0.448,0.486,-0.0379999999999999
Cabrera, Miguel,408234,2023,222,153,0.251,0.237,0.014,0.328,0.334,-0.006,0.298,0.298,0.0
Marcano, Tucupita,672779,2023,220,172,0.233,0.246,-0.0129999999999999,0.356,0.37,-0.014,0.276,0.293,-0.0169999999999999
Tauchman, Mike,643565,2023,218,144,0.269,0.267,0.002,0.403,0.402,0.001,0.34,0.342,-0.002
Wendle, Joey,621563,2023,217,157,0.25,0.234,0.0159999999999999,0.35,0.326,0.0239999999999999,0.28,0.269,0.011
Brown, Seth,664913,2023,217,130,0.207,0.223,-0.016,0.404,0.462,-0.0579999999999999,0.301,0.33,-0.029
Smith, Pavin,656976,2023,217,141,0.19,0.227,-0.037,0.332,0.397,-0.065,0.291,0.329,-0.038
Rojas, Josh,668942,2023,216,144,0.228,0.218,0.01,0.296,0.306,-0.01,0.264,0.269,-0.005
Wong, Kolten,543939,2023,216,150,0.165,0.21,-0.0449999999999999,0.227,0.284,-0.0569999999999999,0.217,0.261,-0.044
Baddoo, Akil,668731,2023,216,139,0.209,0.212,-0.003,0.332,0.343,-0.011,0.284,0.293,-0.009
Rivera, Emmanuel,656896,2023,215,158,0.291,0.276,0.0149999999999999,0.412,0.41,0.002,0.325,0.322,0.003
Cabrera, Oswaldo,665828,2023,215,152,0.205,0.205,0.0,0.308,0.306,0.002,0.253,0.255,-0.002
Schmitt, Casey,669477,2023,214,149,0.208,0.231,-0.023,0.294,0.33,-0.036,0.248,0.277,-0.029
Julien, Edouard,666397,2023,211,119,0.298,0.24,0.0579999999999999,0.536,0.466,0.07,0.393,0.348,0.045
Bader, Harrison,664056,2023,210,168,0.26,0.248,0.012,0.423,0.399,0.0239999999999999,0.303,0.299,0.004
Garrett, Stone,656448,2023,210,120,0.261,0.235,0.026,0.435,0.399,0.0359999999999999,0.334,0.315,0.019
Sosa, Edmundo,624641,2023,207,149,0.25,0.234,0.0159999999999999,0.418,0.371,0.0469999999999999,0.299,0.276,0.0229999999999999
Carpenter, Matt,572761,2023,207,112,0.166,0.166,0.0,0.302,0.331,-0.029,0.273,0.298,-0.0249999999999999
Moniak, Mickey,666160,2023,206,133,0.321,0.267,0.0539999999999999,0.582,0.509,0.0729999999999999,0.396,0.347,0.049
Escobar, Eduardo,500871,2023,206,147,0.237,0.228,0.0089999999999999,0.368,0.324,0.0439999999999999,0.283,0.267,0.0159999999999999
Caballero, José,676609,2023,204,125,0.228,0.209,0.019,0.329,0.302,0.027,0.313,0.302,0.011
Jankowski, Travis,608671,2023,203,148,0.309,0.27,0.0389999999999999,0.394,0.325,0.069,0.353,0.316,0.0369999999999999
De La Cruz, Elly,682829,2023,202,124,0.277,0.262,0.015,0.473,0.41,0.063,0.336,0.311,0.025
Bailey, Patrick,672275,2023,201,136,0.254,0.274,-0.02,0.413,0.473,-0.06,0.301,0.339,-0.038
Arroyo, Christian,624414,2023,199,147,0.245,0.232,0.0129999999999999,0.372,0.343,0.0289999999999999,0.278,0.271,0.007
Winker, Jesse,608385,2023,197,116,0.199,0.201,-0.002,0.247,0.291,-0.0439999999999999,0.27,0.286,-0.0159999999999999
O'Hearn, Ryan,656811,2023,197,140,0.304,0.263,0.0409999999999999,0.525,0.496,0.029,0.367,0.346,0.021
Jeffers, Ryan,680777,2023,191,110,0.281,0.228,0.053,0.438,0.388,0.0499999999999999,0.364,0.326,0.0379999999999999
Lopez, Nicky,670032,2023,190,134,0.212,0.22,-0.008,0.281,0.276,0.005,0.281,0.283,-0.0019999999999999
Larnach, Trevor,663616,2023,188,97,0.216,0.218,-0.002,0.401,0.431,-0.0299999999999999,0.31,0.326,-0.016
Fairchild, Stuart,656413,2023,187,110,0.236,0.213,0.0229999999999999,0.401,0.379,0.022,0.325,0.31,0.015
Hedges, Austin,595978,2023,187,134,0.18,0.21,-0.03,0.23,0.281,-0.051,0.213,0.253,-0.04
Jones, Nolan,666134,2023,185,103,0.273,0.242,0.031,0.485,0.476,0.009,0.359,0.344,0.015
Rendon, Anthony,543685,2023,183,125,0.236,0.263,-0.027,0.318,0.388,-0.07,0.312,0.358,-0.0459999999999999
Benson, Will,666181,2023,183,103,0.274,0.225,0.049,0.51,0.405,0.1049999999999999,0.381,0.328,0.0529999999999999
Chisholm Jr., Jazz,665862,2023,183,112,0.246,0.226,0.0199999999999999,0.443,0.441,0.002,0.321,0.316,0.005
Higashioka, Kyle,543309,2023,183,122,0.229,0.234,-0.005,0.382,0.442,-0.06,0.277,0.305,-0.0279999999999999
Refsnyder, Rob,608701,2023,183,116,0.272,0.278,-0.006,0.344,0.399,-0.055,0.335,0.355,-0.0199999999999999
Isbel, Kyle,664728,2023,182,139,0.23,0.244,-0.0139999999999999,0.391,0.373,0.018,0.282,0.284,-0.002
Sánchez, Gary,596142,2023,180,121,0.212,0.234,-0.022,0.475,0.466,0.0089999999999999,0.324,0.337,-0.013
Waters, Drew,671221,2023,180,101,0.236,0.23,0.0059999999999999,0.37,0.419,-0.0489999999999999,0.291,0.31,-0.019
Longoria, Evan,446334,2023,178,104,0.237,0.249,-0.012,0.5,0.515,-0.015,0.339,0.355,-0.0159999999999999
Arias, Gabriel,672356,2023,177,98,0.195,0.202,-0.007,0.312,0.346,-0.0339999999999999,0.278,0.293,-0.0149999999999999
Madrigal, Nick,663611,2023,174,145,0.278,0.27,0.008,0.367,0.332,0.0349999999999999,0.311,0.296,0.015
Duvall, Adam,594807,2023,173,103,0.261,0.232,0.0289999999999999,0.542,0.467,0.075,0.364,0.328,0.0359999999999999
Biggio, Cavan,624415,2023,171,103,0.216,0.213,0.003,0.386,0.398,-0.012,0.301,0.306,-0.005
Zavala, Seby,664874,2023,171,96,0.154,0.178,-0.0239999999999999,0.288,0.298,-0.01,0.218,0.237,-0.0189999999999999
Allen, Nick,669397,2023,169,128,0.182,0.21,-0.0279999999999999,0.221,0.275,-0.054,0.205,0.243,-0.038
Bauers, Jake,641343,2023,169,98,0.23,0.263,-0.033,0.48,0.568,-0.0879999999999999,0.338,0.386,-0.0479999999999999
Stallings, Jacob,607732,2023,169,106,0.205,0.191,0.0139999999999999,0.274,0.293,-0.0189999999999999,0.261,0.262,-0.001
Trevino, Jose,624431,2023,168,136,0.21,0.245,-0.035,0.312,0.343,-0.031,0.253,0.282,-0.0289999999999999
Moncada, Yoán,660162,2023,168,114,0.229,0.225,0.004,0.35,0.331,0.0189999999999999,0.273,0.266,0.007
Short, Zack,670097,2023,167,110,0.22,0.224,-0.004,0.36,0.402,-0.042,0.288,0.31,-0.022
d'Arnaud, Travis,518595,2023,163,111,0.265,0.257,0.008,0.497,0.501,-0.004,0.354,0.357,-0.003
Espinal, Santiago,669289,2023,162,126,0.233,0.234,-0.001,0.322,0.314,0.008,0.282,0.28,0.0019999999999999
Haniger, Mitch,571745,2023,160,107,0.23,0.266,-0.036,0.372,0.463,-0.091,0.285,0.336,-0.051
Mejía, Francisco,642336,2023,160,115,0.227,0.203,0.0239999999999999,0.4,0.311,0.089,0.281,0.241,0.04
Altuve, Jose,514888,2023,159,108,0.277,0.25,0.027,0.504,0.427,0.077,0.376,0.342,0.0339999999999999
Tapia, Raimel,606132,2023,158,102,0.23,0.227,0.003,0.338,0.345,-0.0069999999999999,0.288,0.301,-0.013
Odor, Rougned,596059,2023,157,101,0.21,0.239,-0.0289999999999999,0.37,0.382,-0.012,0.3,0.318,-0.018
Hampson, Garrett,641658,2023,156,100,0.275,0.248,0.027,0.384,0.339,0.0449999999999999,0.324,0.299,0.025
Nola, Austin,543592,2023,154,103,0.146,0.195,-0.049,0.192,0.252,-0.06,0.22,0.261,-0.041
Ahmed, Nick,605113,2023,153,108,0.228,0.22,0.008,0.331,0.322,0.009,0.263,0.258,0.005
Cruz, Nelson,443558,2023,152,98,0.245,0.24,0.005,0.399,0.414,-0.0149999999999999,0.292,0.297,-0.005
